# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    0    0    205 
1    1    0    204 
2    1    0    204 
3    1    1    224 
4    1    2    244 
5    2    2    243 
6    2    2    243 
7    2    3    263 
8    3    3    262 
9    3    3    262 
10    3    3    262 
11    3    4    282 
12    4    4    281 
13    5    4    280 
14    5    5    300 
15    4    5    301 
16    4    6    321 
17    5    6    320 
18    5    7    340 
19    4    7    341 
20    4    7    341 
21    3    7    342 
22    3    7    342 
23    3    7    342 
24    3    8    362 
25    2    8    363 
26    1    8    364 
27    1    9    384 
28    2    9    383 
29    2    9    383 
30    3    9    382 
31    3    9    382 
32    3    10    2 
33    3    9    22 
34    3    8    42 
35    3    7    62 
36    3    6    82 
37    2    6    83 
38    2    6    83 
39    2    5    103 
40    1    5    104 
41    1    4    124 
42    2    4    123 
43    2    4    123 
44    2    4    123 
45    2    3    143 
46    3    3    142 
47    3    3    142 
48    3    3    142 
49    3    2    162 
50    3    1    182 
51    3    0    202 
52    2    0    203 
53    2    0    203 
54    2    0    203 
55    2    0    203 
56    2    0    203 
57    2    0    203 
58    2    0    203 
59    2    0    203 
60    2    1    223 
61    2    1    223 
62    2    1    223 
63    2    1    223 
64    2    1    223 
65    3    1    222 
66    4    1    221 
67    4    2    241 
68    5    2    240 
69    14    2    259 
70    14    2    259 
71    14    3    279 
72    5    3    260 
73    5    3    260 
74    5    3    260 
75    5    3    260 
76    4    3    261 
