# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    0    0    51 
1    0    1    71 
2    1    1    72 
3    1    2    92 
4    2    2    93 
5    2    3    113 
6    2    4    133 
7    2    5    153 
8    2    6    173 
9    1    6    172 
10    1    6    172 
11    1    6    172 
12    1    6    172 
13    1    7    192 
14    2    7    193 
15    3    7    194 
16    4    7    195 
17    5    7    196 
18    5    8    216 
19    6    8    217 
20    6    8    217 
21    6    9    237 
22    6    10    257 
23    5    10    256 
24    4    10    255 
25    4    11    275 
26    5    11    276 
27    6    11    277 
28    6    12    297 
29    7    12    298 
30    7    13    318 
31    8    13    319 
32    8    14    339 
33    8    15    359 
34    11    15    340 
35    11    16    360 
36    10    16    361 
37    10    16    361 
38    10    17    381 
39    9    17    382 
40    8    17    383 
41    8    2    3 
42    9    2    2 
43    10    2    1 
44    11    2    0 
45    11    2    0 
46    11    1    20 
47    8    1    39 
48    8    1    39 
49    8    1    39 
50    7    1    38 
51    7    0    58 
52    6    0    57 
53    5    0    56 
54    5    0    56 
55    5    1    76 
56    6    1    77 
57    6    1    77 
58    6    2    97 
59    5    2    96 
60    4    2    95 
61    4    2    95 
62    4    3    115 
63    4    4    135 
64    4    5    155 
65    4    6    175 
66    3    6    174 
