# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    0    0    347 
1    1    0    348 
2    1    1    368 
3    0    1    367 
4    0    1    367 
5    1    1    366 
6    1    1    366 
7    1    2    386 
8    2    2    385 
9    2    2    385 
10    2    17    5 
11    3    17    4 
12    3    17    4 
13    4    17    3 
14    4    16    23 
15    4    15    43 
16    5    15    42 
17    6    15    41 
18    6    15    41 
19    6    14    61 
20    7    14    60 
21    7    14    60 
22    7    14    60 
23    12    14    79 
24    12    14    79 
25    11    14    78 
26    11    14    78 
27    11    13    98 
28    10    13    97 
29    9    13    96 
30    9    13    96 
31    9    12    116 
32    9    11    136 
33    9    10    156 
34    10    10    157 
35    10    9    177 
36    11    9    178 
37    11    9    178 
38    11    9    178 
39    11    9    178 
40    11    9    178 
41    12    9    179 
42    12    8    199 
43    11    8    198 
44    11    7    218 
45    10    7    217 
46    10    6    237 
47    9    6    236 
48    9    5    256 
49    10    5    257 
50    10    4    277 
51    11    4    278 
52    11    3    298 
53    10    3    297 
54    9    3    296 
55    9    2    316 
56    10    2    317 
57    10    2    317 
58    11    2    318 
59    11    1    338 
60    10    1    337 
61    9    1    336 
62    8    1    335 
63    7    1    334 
64    7    0    354 
65    6    0    353 
66    6    0    353 
67    6    1    373 
68    6    2    393 
69    5    2    392 
70    4    2    391 
71    3    2    390 
72    2    2    389 
73    2    2    389 
74    2    2    389 
75    1    2    388 
76    1    17    8 
77    0    17    7 
78    1    17    6 
79    1    17    6 
80    1    17    6 
81    1    17    6 
82    1    17    6 
83    1    16    26 
84    1    15    46 
85    2    15    45 
86    3    15    44 
87    3    15    44 
88    3    15    44 
89    3    14    64 
90    2    14    65 
91    1    14    66 
92    1    14    66 
93    0    14    67 
94    0    13    87 
95    1    13    86 
96    1    12    106 
97    2    12    105 
98    2    11    125 
99    2    10    145 
100    1    10    146 
101    1    10    146 
102    1    10    146 
103    1    9    166 
104    0    9    167 
105    0    8    187 
106    0    7    207 
107    0    6    227 
108    0    5    247 
109    1    5    246 
110    2    5    245 
111    2    5    245 
112    2    4    265 
113    2    3    285 
114    2    2    305 
115    2    1    325 
116    1    1    326 
117    1    1    326 
118    0    1    327 
119    1    1    328 
120    1    1    328 
121    1    1    328 
122    1    1    328 
123    1    1    328 
124    1    1    328 
125    2    1    329 
126    3    1    330 
127    3    1    330 
128    4    1    331 
129    4    0    351 
130    4    1    371 
131    4    1    371 
132    4    1    371 
133    3    1    370 
134    3    1    370 
135    3    1    370 
136    3    1    370 
137    3    1    370 
138    3    1    370 
139    2    1    369 
