# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    0    0    181 
1    0    1    201 
2    1    1    200 
3    1    2    220 
4    1    3    240 
5    0    3    241 
6    0    4    261 
7    1    4    262 
8    1    4    262 
9    2    4    263 
10    2    4    263 
11    3    4    264 
12    3    5    284 
13    4    5    285 
14    4    6    305 
15    5    6    306 
16    6    6    307 
17    7    6    308 
18    7    7    328 
19    6    7    327 
20    5    7    326 
21    4    7    325 
22    4    7    325 
23    4    8    345 
24    4    9    365 
25    4    10    385 
26    4    9    5 
27    3    9    4 
28    3    9    4 
29    3    9    4 
30    3    8    24 
31    2    8    23 
32    2    7    43 
33    1    7    42 
34    1    6    62 
35    0    6    61 
36    0    5    81 
37    1    5    82 
38    1    5    82 
39    1    5    82 
40    2    5    83 
41    3    5    84 
42    3    4    104 
43    3    3    124 
44    4    3    125 
45    4    3    125 
46    4    2    145 
47    3    2    144 
48    2    2    143 
49    1    2    142 
50    1    2    142 
51    1    1    162 
52    1    0    182 
53    2    0    183 
54    2    1    203 
55    3    1    204 
56    3    1    204 
57    3    1    204 
58    3    2    224 
59    2    2    223 
60    2    2    223 
61    2    3    243 
62    1    3    242 
