# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    0    0    110 
1    1    0    111 
2    1    0    111 
3    1    1    131 
4    0    1    130 
5    0    1    130 
6    0    1    130 
7    0    1    130 
8    0    1    130 
9    0    1    130 
10    0    1    130 
11    0    2    150 
12    1    2    151 
13    1    2    151 
14    2    2    152 
15    3    2    153 
16    4    2    154 
17    4    2    154 
18    4    2    154 
19    5    2    155 
20    5    2    155 
21    6    2    156 
22    7    2    157 
23    7    2    157 
24    7    2    157 
25    7    3    177 
26    8    3    178 
27    8    4    198 
28    7    4    197 
29    7    5    217 
30    8    5    218 
31    8    5    218 
32    8    5    218 
33    8    6    238 
34    7    6    237 
35    7    7    257 
36    6    7    256 
37    6    7    256 
38    6    8    276 
39    5    8    275 
40    4    8    274 
41    3    8    273 
42    3    9    293 
43    3    10    313 
44    4    10    314 
45    4    10    314 
46    4    11    334 
47    4    12    354 
48    5    12    355 
49    5    12    355 
50    5    12    355 
51    6    12    356 
52    6    13    376 
53    7    13    377 
54    7    13    377 
55    7    13    377 
56    7    14    397 
57    8    14    398 
58    8    14    398 
59    8    5    18 
60    9    5    19 
61    9    4    39 
62    9    3    59 
63    10    3    40 
64    10    2    60 
65    10    1    80 
66    10    0    100 
67    9    0    101 
68    9    0    101 
69    9    0    101 
70    9    0    101 
71    9    0    101 
72    8    0    102 
73    8    0    102 
74    7    0    103 
75    6    0    104 
76    5    0    105 
77    4    0    106 
78    3    0    107 
79    2    0    108 
80    1    0    109 
81    1    0    109 
82    1    1    129 
83    1    2    149 
84    1    3    169 
85    2    3    168 
86    2    3    168 
87    3    3    167 
88    3    4    187 
89    3    5    207 
90    3    6    227 
91    4    6    226 
92    4    6    226 
93    5    6    225 
94    5    7    245 
95    4    7    246 
96    4    8    266 
97    4    9    286 
98    4    10    306 
99    3    10    307 
100    3    11    327 
101    2    11    328 
102    2    12    348 
103    3    12    347 
104    4    12    346 
105    4    12    346 
106    4    13    366 
107    5    13    365 
108    5    13    365 
109    6    13    364 
110    7    13    363 
111    8    13    362 
112    8    14    382 
113    8    5    2 
114    7    5    3 
115    6    5    4 
116    6    4    24 
117    6    3    44 
118    6    2    64 
119    6    1    84 
120    7    1    83 
121    7    1    83 
122    8    1    82 
123    9    1    81 
