# self avoiding walk em matriz 20x20 
# tempo  x   y   sítio 
0    0    3    60 
1    19    3    79 
2    19    4    99 
3    18    4    98 
4    18    4    98 
5    18    5    118 
6    19    5    119 
7    19    6    139 
8    0    6    120 
9    0    6    120 
10    0    7    140 
11    1    7    141 
12    1    8    161 
13    1    9    181 
14    2    9    182 
15    2    10    202 
16    2    11    222 
17    2    12    242 
18    2    13    262 
19    1    13    261 
20    0    13    260 
21    19    13    279 
22    19    14    299 
23    18    14    298 
24    18    15    318 
25    18    16    338 
26    19    16    339 
27    19    17    359 
28    19    18    379 
29    0    18    360 
30    1    18    361 
31    2    18    362 
32    2    19    382 
33    3    19    383 
34    3    19    383 
35    3    19    383 
36    4    19    384 
37    4    19    384 
38    4    19    384 
39    4    0    4 
40    3    0    3 
41    3    0    3 
42    3    0    3 
43    3    1    23 
44    3    2    43 
45    2    2    42 
46    1    2    41 
47    0    2    40 
48    0    2    40 
49    0    2    40 
50    0    2    40 
51    19    2    59 
52    18    2    58 
53    17    2    57 
54    17    3    77 
55    18    3    78 
